province,ssp,year,temp_grad_z,log_effort_visits_z,decades_ahead,hazard_glmm
Gansu,SSP585,2030,2.6084809043961,1.60452456914352,0.6,0.0706936071709609
Gansu,SSP585,2050,6.32827904851182,1.60452456914352,2.6,0.184806578297155
Gansu,SSP585,2080,11.9079762646854,1.60452456914352,5.6,0.613513538182636
Guangdong,SSP245,2030,1.25761536481077,1.12413113381892,0.6,0.0420794013634436
Guangdong,SSP245,2050,2.65253966885417,1.12413113381892,2.6,0.0518920173203984
Guangdong,SSP245,2080,4.74492612491926,1.12413113381892,5.6,0.0708963029957598
Guangdong,SSP585,2030,1.95507751683247,1.12413113381892,0.6,0.0467351935240037
Guangdong,SSP585,2050,5.67487566094819,1.12413113381892,2.6,0.0813513190669123
Guangdong,SSP585,2080,11.2545728771218,1.12413113381892,5.6,0.181505135093483
Guangxi,SSP245,2030,1.46801616353924,2.01862337134083,0.6,0.0609836473815722
Guangxi,SSP245,2050,2.86294046758264,2.01862337134083,2.6,0.101441504185621
Guangxi,SSP245,2080,4.95532692364773,2.01862337134083,5.6,0.211065815281526
Guangxi,SSP585,2030,2.16547831556094,2.01862337134083,0.6,0.078763965623373
Guangxi,SSP585,2050,5.88527645967666,2.01862337134083,2.6,0.286574136736053
Guangxi,SSP585,2080,11.4649736758503,2.01862337134083,5.6,0.94038372381085
Guizhou,SSP245,2030,1.62604014271196,1.47857077429316,0.6,0.0516039619949685
Guizhou,SSP245,2050,3.02096444675536,1.47857077429316,2.6,0.0717269071793704
Guizhou,SSP245,2080,5.11335090282045,1.47857077429316,5.6,0.116552631441729
Guizhou,SSP585,2030,2.32350229473366,1.47857077429316,0.6,0.0608661441429789
Guizhou,SSP585,2050,6.04330043884938,1.47857077429316,2.6,0.143960182018515
Guizhou,SSP585,2080,11.622997655023,1.47857077429316,5.6,0.454100028223749
Hainan,SSP245,2030,0.958403505617499,1.81240564991207,0.6,0.047935292599065
Hainan,SSP245,2050,2.3533278096609,1.81240564991207,2.6,0.0747020706418946
Hainan,SSP245,2080,4.44571426572599,1.81240564991207,5.6,0.142961762058442
Hainan,SSP585,2030,1.6558656576392,1.81240564991207,0.6,0.0598879503608911
Hainan,SSP585,2050,5.37566380175492,1.81240564991207,2.6,0.188870103128944
Hainan,SSP585,2080,10.9553610179285,1.81240564991207,5.6,0.72917944308351
Hebei,SSP245,2030,2.77226786911189,1.81390390338958,0.6,0.0853173788403966
Hebei,SSP245,2050,4.16719217315529,1.81390390338958,2.6,0.131531369235884
Hebei,SSP245,2080,6.25957862922038,1.81390390338958,5.6,0.244550479981093
Hebei,SSP585,2030,3.46973002113359,1.81390390338958,0.6,0.106084332213201
Hebei,SSP585,2050,7.18952816524931,1.81390390338958,2.6,0.31658720065567
Hebei,SSP585,2080,12.7692253814229,1.81390390338958,5.6,0.907496183982881
Heilongjiang,SSP245,2030,2.14048374229962,1.39019899155061,0.6,0.055556288589445
Heilongjiang,SSP245,2050,3.53540804634302,1.39019899155061,2.6,0.074877111547919
Heilongjiang,SSP245,2080,5.62779450240811,1.39019899155061,5.6,0.116317512223163
Heilongjiang,SSP585,2030,2.83794589432132,1.39019899155061,0.6,0.0645223419774651
Heilongjiang,SSP585,2050,6.55774403843704,1.39019899155061,2.6,0.140935332942834
Heilongjiang,SSP585,2080,12.1374412546106,1.39019899155061,5.6,0.406762688293476
Henan,SSP245,2030,2.6743813674336,2.13212435162468,0.6,0.102132501237222
Henan,SSP245,2050,4.069305671477,2.13212435162468,2.6,0.173559391823293
Henan,SSP245,2080,6.16169212754209,2.13212435162468,5.6,0.36153215505656
Henan,SSP585,2030,3.3718435194553,2.13212435162468,0.6,0.133511691069948
Henan,SSP585,2050,7.09164166357102,2.13212435162468,2.6,0.481282059930096
Henan,SSP585,2080,12.6713388797446,2.13212435162468,5.6,0.998394760430595
Hong Kong,SSP245,2030,-1.87192801116749,1.21722686562987,0.6,0.0251315301658381
Hong Kong,SSP245,2050,-0.477003707124094,1.21722686562987,2.6,0.0320774640650896
Hong Kong,SSP245,2080,1.615382748941,1.21722686562987,5.6,0.0461664682986021
Hong Kong,SSP585,2030,-1.17446585914579,1.21722686562987,0.6,0.028395989692321
Hong Kong,SSP585,2050,2.54533228496993,1.21722686562987,2.6,0.0542231456183045
Hong Kong,SSP585,2080,8.12502950114352,1.21722686562987,5.6,0.139365780976518
Hubei,SSP245,2030,2.30017309514399,2.43307171202928,0.6,0.1048327387513
Hubei,SSP245,2050,3.69509739918739,2.43307171202928,2.6,0.195817046772685
Hubei,SSP245,2080,5.78748385525248,2.43307171202928,5.6,0.452060268685954
Hubei,SSP585,2030,2.99763524716569,2.43307171202928,0.6,0.143886721266107
Hubei,SSP585,2050,6.71743339128141,2.43307171202928,2.6,0.611204417277895
Hubei,SSP585,2080,12.297130607455,2.43307171202928,5.6,0.999999295924605
Hunan,SSP245,2030,1.79110549212117,2.23610659847637,0.6,0.0758053124934394
Hunan,SSP245,2050,3.18602979616457,2.23610659847637,2.6,0.134724206521458
Hunan,SSP245,2080,5.27841625222966,2.23610659847637,5.6,0.30224448654733
Hunan,SSP585,2030,2.48856764414287,2.23610659847637,0.6,0.101300400168591
Hunan,SSP585,2050,6.20836578825859,2.23610659847637,2.6,0.41698213090097
Hunan,SSP585,2080,11.7880630044322,2.23610659847637,5.6,0.997814102217483
Inner Mongolia,SSP245,2030,2.65951134596934,1.74512696642787,0.6,0.078677217602996
Inner Mongolia,SSP245,2050,4.05443565001274,1.74512696642787,2.6,0.118804633619576
Inner Mongolia,SSP245,2080,6.14682210607783,1.74512696642787,5.6,0.215347434239769
Inner Mongolia,SSP585,2030,3.35697349799104,1.74512696642787,0.6,0.0967934111484558
Inner Mongolia,SSP585,2050,7.07677164210676,1.74512696642787,2.6,0.276668706222936
Inner Mongolia,SSP585,2080,12.6564688582803,1.74512696642787,5.6,0.84086082268278
