cell,lon,lat,ssp,year,hazard
951,85.7891096334143,45.8094100677068,Current,2024,0.0304369952092974
952,86.6874249175338,45.8094100677068,Current,2024,0.0184138858925091
953,87.5857402016533,45.8094100677068,Current,2024,0.0235510696171016
954,88.4840554857729,45.8094100677068,Current,2024,0.0171790192679725
955,89.3823707698924,45.8094100677068,Current,2024,0.0194102901521793
956,90.2695569077331,45.814686522634,Current,2024,0.0181371786663661
957,90.8288417443276,45.9987771619666,Current,2024,0.0165488259053357
984,115.809621293604,45.5400507832078,Current,2024,0.0273683487107961
985,116.434159903514,45.7684662849873,Current,2024,0.0268792105106382
986,117.230144577598,45.8094100677068,Current,2024,0.0251958167153786
987,118.128459861717,45.8094100677068,Current,2024,0.0254656801397205
988,119.026775145837,45.8094100677068,Current,2024,0.0293634314859704
989,119.925090429956,45.8094100677068,Current,2024,0.0248362045627407
990,120.823405714076,45.8094100677068,Current,2024,0.0253641540579168
991,121.721720998195,45.8094100677068,Current,2024,0.0294729437291
992,122.620036282315,45.8094100677068,Current,2024,0.0269362551094778
993,123.518351566434,45.8094100677068,Current,2024,0.0282258207552364
994,124.416666850554,45.8094100677068,Current,2024,0.0314974017975077
995,125.314982134673,45.8094100677068,Current,2024,0.0288899858122539
996,126.213297418793,45.8094100677068,Current,2024,0.0297753359103413
997,127.111612702912,45.8094100677068,Current,2024,0.0298382141135265
998,128.009927987032,45.8094100677068,Current,2024,0.0335848596428225
999,128.908243271151,45.8094100677068,Current,2024,0.0269426440334207
1000,129.806558555271,45.8094100677068,Current,2024,0.0287452279144906
1001,130.70487383939,45.8094100677068,Current,2024,0.0248315651061947
1002,131.60318912351,45.8094100677068,Current,2024,0.0186231677054262
1003,132.501504407629,45.8094100677068,Current,2024,0.0201375109206822
1004,133.233182127971,45.8607042493194,Current,2024,0.0193771162973811
1016,79.9363938972813,44.9066047477668,Current,2024,0.0248896220536962
1017,80.4564404704518,44.9712759932945,Current,2024,0.0248136910554926
1018,81.3471555017718,45.0528063060372,Current,2024,0.026293672870536
1019,82.2140548287345,45.0946694965179,Current,2024,0.0288468597419752
1020,83.0941637810557,45.1797310861844,Current,2024,0.0266859783349422
1021,83.9924790651753,45.1797310861844,Current,2024,0.0277450548009898
1022,84.8907943492948,45.1797310861844,Current,2024,0.0316955231166055
1023,85.7891096334143,45.1797310861844,Current,2024,0.0224219598593511
1024,86.6874249175338,45.1797310861844,Current,2024,0.0221286043003254
1025,87.5857402016533,45.1797310861844,Current,2024,0.0219829227687748
1026,88.4840554857729,45.1797310861844,Current,2024,0.0216174843313348
1027,89.3823707698924,45.1797310861844,Current,2024,0.0257164756893542
1028,90.2800829501215,45.1793106464764,Current,2024,0.0196934254869059
1029,91.1194345968524,45.0364794852579,Current,2024,0.0184381803036483
1030,92.0417781335629,44.9627999803671,Current,2024,0.0167251732914618
1031,92.9584517272128,44.9452867559723,Current,2024,0.0166460519444992
1032,93.5464982617403,44.9115270827412,Current,2024,0.0184807177163927
1052,112.010960226976,44.9572125033315,Current,2024,0.0327410674532377
1053,112.434486393606,44.939557062824,Current,2024,0.0327410674532377
1054,113.990734958105,44.9006753118312,Current,2024,0.0346601236336115
1055,114.618557263157,45.0954099368791,Current,2024,0.0283104157076977
1056,115.452379275369,45.1497868782039,Current,2024,0.0285387744837947
1057,116.331829293478,45.1797310861844,Current,2024,0.028528881198301
1058,117.230144577598,45.1797310861844,Current,2024,0.0269381960787711
1059,118.128459861717,45.1797310861844,Current,2024,0.0249242192794604
