unit_id,province,ssp,year,log_effort_visits_z,temp_grad_z,hazard_glmm,hazard_xgb
CNTY_02016,Sichuan,SSP245,2080,2.00729594683907,4.84837939237701,0.201031180311727,0.0477457009255886
CNTY_02016,Sichuan,SSP585,2030,2.00729594683907,2.05853078429021,0.0753029225803602,0.0477457009255886
CNTY_02016,Sichuan,SSP585,2050,2.00729594683907,5.77832892840594,0.272995696081573,0.0477457009255886
CNTY_02016,Sichuan,SSP585,2080,2.00729594683907,11.3580261445795,0.927206201473483,0.0477457009255886
CNTY_02017,Sichuan,SSP245,2030,1.01538131027157,1.36106863226852,0.04112219809638,0.0649220794439316
CNTY_02017,Sichuan,SSP245,2050,1.01538131027157,2.75599293631191,0.0488542673555501,0.0605748780071735
CNTY_02017,Sichuan,SSP245,2080,1.01538131027157,4.84837939237701,0.0631680763477174,0.0605748780071735
CNTY_02017,Sichuan,SSP585,2030,1.01538131027157,2.05853078429021,0.0448257475765778,0.0605748780071735
CNTY_02017,Sichuan,SSP585,2050,1.01538131027157,5.77832892840594,0.0707616555055654,0.0605748780071735
CNTY_02017,Sichuan,SSP585,2080,1.01538131027157,11.3580261445795,0.138057092517249,0.0605748780071735
CNTY_02018,Sichuan,SSP245,2030,2.5413574062456,1.36106863226852,0.0704191359099205,0.0432242564857006
CNTY_02018,Sichuan,SSP245,2050,2.5413574062456,2.75599293631191,0.13868600739311,0.0509567409753799
CNTY_02018,Sichuan,SSP245,2080,2.5413574062456,4.84837939237701,0.353680426788227,0.0509567409753799
CNTY_02018,Sichuan,SSP585,2030,2.5413574062456,2.05853078429021,0.0991457599131572,0.0509567409753799
CNTY_02018,Sichuan,SSP585,2050,2.5413574062456,5.77832892840594,0.504946827219294,0.0509567409753799
CNTY_02018,Sichuan,SSP585,2080,2.5413574062456,11.3580261445795,0.999995383105074,0.0509567409753799
CNTY_02019,Sichuan,SSP245,2030,-1.09577781688295,1.36106863226852,0.0193417090340015,0.0508220195770264
CNTY_02019,Sichuan,SSP245,2050,-1.09577781688295,2.75599293631191,0.0109933351971493,0.0440352149307728
CNTY_02019,Sichuan,SSP245,2080,-1.09577781688295,4.84837939237701,0.00469573761389397,0.0447805970907211
CNTY_02019,Sichuan,SSP585,2030,-1.09577781688295,2.05853078429021,0.0145861810957609,0.0470496602356434
CNTY_02019,Sichuan,SSP585,2050,-1.09577781688295,5.77832892840594,0.00321532880548725,0.0447805970907211
CNTY_02019,Sichuan,SSP585,2080,-1.09577781688295,11.3580261445795,0.000330405302760073,0.0447805970907211
CNTY_02020,Sichuan,SSP245,2030,1.93784873367171,1.36106863226852,0.0569824727467264,0.0404796972870827
CNTY_02020,Sichuan,SSP245,2050,1.93784873367171,2.75599293631191,0.0923811588051977,0.0477457009255886
CNTY_02020,Sichuan,SSP245,2080,1.93784873367171,4.84837939237701,0.186035028151793,0.0477457009255886
CNTY_02020,Sichuan,SSP585,2030,1.93784873367171,2.05853078429021,0.0726386534336215,0.0477457009255886
CNTY_02020,Sichuan,SSP585,2050,1.93784873367171,5.77832892840594,0.24998724498964,0.0477457009255886
CNTY_02020,Sichuan,SSP585,2080,1.93784873367171,11.3580261445795,0.882717886074288,0.0477457009255886
CNTY_02021,Sichuan,SSP245,2030,1.09612356194346,1.36106863226852,0.0423176396301202,0.0593071207404137
CNTY_02021,Sichuan,SSP245,2050,1.09612356194346,2.75599293631191,0.0516842147172145,0.0604662261903286
CNTY_02021,Sichuan,SSP245,2080,1.09612356194346,4.84837939237701,0.0696124690326052,0.0604662261903286
CNTY_02021,Sichuan,SSP585,2030,1.09612356194346,2.05853078429021,0.0467728033572209,0.0604662261903286
