unit,lon,lat,ssp,year,hazard,panel,hz
1849,116.331829293478,37.790551756013,SSP585,2080,1,SSP585 — 2080,1
1850,117.230144577598,37.790551756013,SSP585,2080,1,SSP585 — 2080,1
1851,118.119567463375,37.7571696681828,SSP585,2080,1,SSP585 — 2080,1
1852,118.811831921606,37.7754752517988,SSP585,2080,1,SSP585 — 2080,1
1853,120.275669528152,37.5419396020678,SSP585,2080,,SSP585 — 2080,
1854,120.773406251066,37.6038103092886,SSP585,2080,1,SSP585 — 2080,1
1855,121.656260598116,37.4984798900351,SSP585,2080,,SSP585 — 2080,
1856,122.198048399983,37.4475999943582,SSP585,2080,,SSP585 — 2080,
1874,74.5383597066917,37.182238201356,SSP585,2080,0.897703528557527,SSP585 — 2080,0.897703528557527
1875,75.09449886685,37.1836695308115,SSP585,2080,1,SSP585 — 2080,1
1876,75.916306373446,37.0868802121126,SSP585,2080,0.999999976534017,SSP585 — 2080,0.999999976534017
1877,76.8059567922191,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1878,77.7042720763386,37.0772638054809,SSP585,2080,0.953803981798332,SSP585 — 2080,0.953803981798332
1879,78.6025873604581,37.0772638054809,SSP585,2080,0.997945396401776,SSP585 — 2080,0.997945396401776
1880,79.5009026445776,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1881,80.3992179286972,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1882,81.2975332128167,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1883,82.1958484969362,37.0772638054809,SSP585,2080,0.842673505533648,SSP585 — 2080,0.842673505533648
1884,83.0941637810557,37.0772638054809,SSP585,2080,0.999999999999998,SSP585 — 2080,0.999999999999998
1885,83.9924790651753,37.0772638054809,SSP585,2080,0.876422122267458,SSP585 — 2080,0.876422122267458
1886,84.8907943492948,37.0772638054809,SSP585,2080,0.759725053094336,SSP585 — 2080,0.759725053094336
1887,85.7891096334143,37.0772638054809,SSP585,2080,0.746610980074392,SSP585 — 2080,0.746610980074392
1888,86.6874249175338,37.0772638054809,SSP585,2080,0.805271994487077,SSP585 — 2080,0.805271994487077
1889,87.5857402016533,37.0772638054809,SSP585,2080,0.651669466206958,SSP585 — 2080,0.651669466206958
1890,88.4840554857729,37.0772638054809,SSP585,2080,0.678027517236271,SSP585 — 2080,0.678027517236271
1891,89.3823707698924,37.0772638054809,SSP585,2080,0.663146217954198,SSP585 — 2080,0.663146217954198
1892,90.2806860540119,37.0772638054809,SSP585,2080,0.987435108916877,SSP585 — 2080,0.987435108916877
1893,91.1790013381314,37.0772638054809,SSP585,2080,0.502675916161578,SSP585 — 2080,0.502675916161578
1894,92.077316622251,37.0772638054809,SSP585,2080,0.528206530540836,SSP585 — 2080,0.528206530540836
1895,92.9756319063705,37.0772638054809,SSP585,2080,0.584141254794123,SSP585 — 2080,0.584141254794123
1896,93.87394719049,37.0772638054809,SSP585,2080,0.570783514933379,SSP585 — 2080,0.570783514933379
1897,94.7722624746095,37.0772638054809,SSP585,2080,0.990820986202595,SSP585 — 2080,0.990820986202595
1898,95.670577758729,37.0772638054809,SSP585,2080,0.851062057259558,SSP585 — 2080,0.851062057259558
1899,96.5688930428486,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1900,97.4672083269681,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1901,98.3655236110876,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1902,99.2638388952071,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1903,100.162154179327,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1904,101.060469463446,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1905,101.958784747566,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1906,102.857100031685,37.0772638054809,SSP585,2080,1,SSP585 — 2080,1
1907,103.755415315805,37.0772638054809,SSP585,2080,0.999969784675992,SSP585 — 2080,0.999969784675992
