cell50,lon,lat,ssp,year,hazard
26_64,87.4722369449195,43.0258964226974,Current,2024,0.0277736669092507
26_65,87.3238455825074,43.4471176422745,Current,2024,0.0374484707941982
26_66,87.1722097957612,43.8678924941271,Current,2024,0.0304237505667305
26_67,87.017247864589,44.2882089621717,Current,2024,0.027499978014501
26_72,86.1894799213191,46.3824648576391,Current,2024,0.0276566785283667
26_73,86.0126771973338,46.7997540809708,Current,2024,0.0239731836836635
26_74,85.831889748176,47.2164880708536,Current,2024,0.0360069562853266
26_75,85.6470095498781,47.632650910278,Current,2024,0.0246856180418676
27_28,91.6515328885907,27.7008423540387,Current,2024,0.0291286751128811
27_29,91.5844473300699,28.1336397995652,Current,2024,0.0325611619630581
27_30,91.5158586444184,28.5662595916318,Current,2024,0.0417495631711772
27_31,91.445741233544,28.9986974949222,Current,2024,0.0539096805420685
27_32,91.3740687082017,29.430949182154,Current,2024,0.037996742743472
27_33,91.3008138629871,29.8630102304852,Current,2024,0.0277255993779126
27_34,91.2259486503065,30.2948761177733,Current,2024,0.105878886630618
27_35,91.1494441532792,30.7265422186789,Current,2024,0.066128014632058
27_36,91.0712705575236,31.1580038006069,Current,2024,0.0796093085837312
27_51,89.6749769961275,37.6017843725811,Current,2024,0.146393162396975
27_61,88.464723576107,41.8614325489862,Current,2024,0.0202862091821961
27_62,88.3288748192082,42.2854373988191,Current,2024,0.0210068199572206
27_65,87.9032874911208,43.555046882941,Current,2024,0.030266320877395
27_66,87.7551593481295,43.9774125479746,Current,2024,0.0338883219879985
27_67,87.6037657058012,44.3993406374448,Current,2024,0.0343845982081367
27_68,87.4490227621681,44.820819265647,Current,2024,0.0241533803682673
27_69,87.2908437459842,45.2418361289568,Current,2024,0.0235838988640914
27_70,87.1291387945615,45.6623784866861,Current,2024,0.0191278825639326
27_73,86.6219206022371,46.9210241331712,Current,2024,0.029005178536979
27_74,86.4451468495678,47.3395315929551,Current,2024,0.0285964078575182
27_75,86.264346783607,47.7574935446565,Current,2024,0.0260729552568709
27_76,86.0794090861755,48.1748941631384,Current,2024,0.0401522111069963
28_28,92.1386181940301,27.7590911250055,Current,2024,0.0561225899173213
28_29,92.0733178764725,28.1929574988922,Current,2024,0.0336874624237112
28_30,92.0065517698897,28.6266542850184,Current,2024,0.0445774736234798
28_31,91.9382947673594,29.0601774555382,Current,2024,0.0480956584887777
28_32,91.8685209822634,29.4935228954028,Current,2024,0.06488380371792
28_33,91.7972037234313,29.926686398926,Current,2024,0.0857172556723269
28_37,91.4959364881753,31.6574335589851,Current,2024,0.06374334434062
28_50,90.318306034474,37.2580333994489,Current,2024,0.0652075692147557
28_53,89.9972372545924,38.5442954507262,Current,2024,0.0661955897615322
28_54,89.8855884793563,38.9724607511112,Current,2024,0.0661955897615322
28_55,89.7715392616503,39.4003194570684,Current,2024,0.0323536429896634
28_62,88.9011072685414,42.3860694717466,Current,2024,0.0222203752080734
28_63,88.7657041521645,42.8111776611899,Current,2024,0.029788306559094
28_64,88.6273311260826,43.2359006563618,Current,2024,0.023997658552932
28_65,88.4859134929698,43.6602282213995,Current,2024,0.0219165746260528
28_66,88.34137392455,44.0841497692272,Current,2024,0.0228944498046541
28_67,88.1936323535899,44.5076543455792,Current,2024,0.0239528371936454
28_70,87.7303514549478,45.7755508362457,Current,2024,0.0223700185477038
28_71,87.5689423475065,46.1972700334261,Current,2024,0.0184218595242135
28_72,87.4038856627425,46.618511360169,Current,2024,0.0233584850863918
28_73,87.2350823252308,47.0392612737577,Current,2024,0.0427917052968194
28_74,87.0624296052763,47.4595057263965,Current,2024,0.0210251176771513
28_75,86.8858209617268,47.8792301410875,Current,2024,0.0361161738735711
28_76,86.7051458771438,48.2984193861955,Current,2024,0.0334449773208745
29_29,92.5636540859561,28.2506337092485,Current,2024,0.0510713647130142
29_31,92.4323649496769,29.1199584692161,Current,2024,0.117246563409762
29_32,92.3645165916851,29.5543686951426,Current,2024,0.0414693770017941
29_33,92.2951644363497,29.9886055249628,Current,2024,0.0536980608878774
29_36,92.0778112498341,31.29023436443,Current,2024,0.0649157949593657
29_38,91.9248726491738,32.1570425876182,Current,2024,0.0433253614347463
29_40,91.7652176500522,33.0230533108462,Current,2024,0.0667554057237401
29_42,91.5985822407239,33.8882284895355,Current,2024,0.0592534234450013
29_52,90.6501920285101,38.2000930121969,Current,2024,0.0884774302449683
29_63,89.3443094572615,42.9105864199753,Current,2024,0.0294933109875079
29_66,88.930790028312,44.1880592565032,Current,2024,0.0215226835796095
29_67,88.7867834282986,44.6131041111686,Current,2024,0.0204774524177875
29_68,88.6395592555313,45.03774157447,Current,2024,0.022864638289666
29_72,88.0167419647146,46.7319878561967,Current,2024,0.0215389709312809
29_73,87.8520927956369,47.1544123881364,Current,2024,0.0283731045545101
29_74,87.6836676220886,47.5763560387962,Current,2024,0.0347373784133799
29_75,87.5113608895897,47.9978049090862,Current,2024,0.0296461338308338
29_76,87.3350630542363,48.418744566403,Current,2024,0.0325230466703695
29_77,87.1546604060771,48.8391600185136,Current,2024,0.0313601204876924
2_58,75.8596776277846,37.506293658574,Current,2024,0.0413335911999299
2_59,75.674689817635,37.8871830236265,Current,2024,0.0417749008532244
2_61,75.2941034699086,38.6465199618003,Current,2024,0.0308729968386714
2_62,75.0983752310309,39.0249290617477,Current,2024,0.0312759706099955
2_64,74.695712464423,39.7791285535723,Current,2024,0.0366760937812404
30_29,93.0554178667909,28.3066493683179,Current,2024,0.0569322124881493
30_30,92.9923717121745,28.7424137500947,Current,2024,0.0604003411677503
30_31,92.9279126463187,29.1780205848765,Current,2024,0.0482020451854596
30_33,92.7946557745845,30.048746733831,Current,2024,0.0661700618248564
30_35,92.6554393026121,30.9187972280145,Current,2024,0.087355453765094
30_37,92.5100419887276,31.7881400797502,Current,2024,0.0707338878940883
30_38,92.4349525223697,32.222535732394,Current,2024,0.0785900004979433
30_41,92.1997479005717,33.5245671997142,Current,2024,0.0796618502706152
30_43,92.0343336393669,34.3915793988184,Current,2024,0.0623490419958642
30_52,91.1960868735975,38.2819778372093,Current,2024,0.128233997017428
30_57,90.6558692844025,40.4343437555028,Current,2024,0.0569658385733739
30_62,90.0542017601461,42.5792377063621,Current,2024,0.0221604806661034
30_63,89.9258208673165,43.0072335336803,Current,2024,0.0230073775922445
30_64,89.7945993526186,43.4348815437196,Current,2024,0.0200789758097393
30_65,89.660464582009,43.8621725027904,Current,2024,0.0192984525750322
30_67,89.3831515815421,44.7156447140873,Current,2024,0.022627495540279
30_68,89.2398145923467,45.1418058342764,Current,2024,0.0235257943241726
30_69,89.0932465916531,45.5675696072186,Current,2024,0.0213229625731833
30_71,88.7900669920688,46.4178607274246,Current,2024,0.0198223567675021
30_73,88.4728786338669,47.2664251526296,Current,2024,0.0316312987440351
30_74,88.3087865331807,47.6900288927448,Current,2024,0.041055439119401
30_75,88.1408912262119,48.1131628564965,Current,2024,0.0305869345123192
31_30,93.48742054859,28.7977399639817,Current,2024,0.0654769327847036
31_31,93.4248979315295,29.2343443073448,Current,2024,0.0659351966201393
31_33,93.2956366669799,30.1070896244244,Current,2024,0.0791122872599881
31_34,93.2288472426775,30.5432233728427,Current,2024,0.0772521469317703
31_36,93.0908177939307,31.41499437396,Current,2024,0.0614885638410715
31_39,92.8722222769082,32.7213509774501,Current,2024,0.110590113588251
31_43,92.5579115618588,34.4605589063911,Current,2024,0.0448558770744295
31_63,90.5101724820375,43.1010786414988,Current,2024,0.0167299800955956
31_65,90.252256236185,43.9588500005616,Current,2024,0.0197263456036819
