file,variable,type,n_missing,min,max,unit,description
grid_50km_climate.csv,spatial_temp_grad,numeric,0,0.0957281067967415,0.755940318107605,°C,""
grid_50km_climate.csv,spatial_prec_grad,numeric,0,41.6846771240234,558.830200195313,mm,""
grid_50km_effort.csv,province,character,0,,,"",""
grid_50km_effort.csv,year,integer,0,2002,2024,year,""
grid_50km_effort.csv,grid_id,integer,0,1,3795,"",""
grid_50km_effort.csv,log_effort_record_z,numeric,2952,-2.03419201696452,2.76507636831817,z-score,""
grid_50km_effort.csv,log_effort_visits_z,numeric,1423,-1.67667518925434,2.93315801551981,z-score,""
grid_50km_effort.csv,effort_pc1_z,numeric,1423,-0.684247839773786,10.4950292737813,z-score,""
grid_50km_effort.csv,log_effort_days_z,numeric,1423,-1.91286613097121,1.42785233195007,z-score,""
grid_50km_effort.csv,n_visits,integer,1423,1,25948,"",""
grid_50km_effort.csv,n_birding_days,integer,1423,1,365,"",""
grid_50km_risk_set.csv,province,character,0,,,"",""
grid_50km_risk_set.csv,year,integer,0,2002,2005,year,""
grid_50km_risk_set.csv,species,character,0,,,"",""
grid_50km_risk_set.csv,grid_id,integer,0,907,1667,"",""
grid_50km_risk_set.csv,event,integer,0,0,0,"",""
grid_50km_risk_set.csv,temp_grad_prov_z,numeric,0,0.186329847406554,0.186329847406554,°C,""
grid_50km_risk_set.csv,prec_grad_prov_z,numeric,0,0.383476273184039,0.383476273184039,mm,""
grid_50km_risk_set.csv,climate_velocity_z,numeric,0,0.0247144110167908,0.0247144110167908,km/decade,""
grid_50km_risk_set.csv,precip_velocity_z,numeric,0,-0.141860160278138,-0.141860160278138,mm,""
grid_50km_risk_set.csv,climate_exposure_z,numeric,0,0.625999995756326,0.625999995756326,z-score,""
grid_50km_risk_set.csv,warming_rate_z,numeric,0,0.674578267823628,0.674578267823628,°C,""
grid_50km_risk_set.csv,mahalanobis_dist_z,numeric,0,-0.173800833975381,-0.173800833975381,z-score,""
grid_50km_risk_set.csv,temp_anom,numeric,0,0.912541611290677,0.912541611290677,°C,""
grid_50km_risk_set.csv,prec_anom,numeric,0,68.3418423160092,68.3418423160092,mm,""
grid_50km_risk_set.csv,log_effort_record_z,numeric,15015,-2.03419201696452,-0.550904645013811,z-score,""
grid_50km_risk_set.csv,log_effort_visits_z,numeric,15015,-1.47931719109363,-1.00190373666581,z-score,""
