species,events_lost,provinces,first_year,last_year,in_birdwatch_modelled,in_rescue_modelled,modelling_status
Aegithalos bonvaloti,1,Shaanxi,2007,2007,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Alaudala cheleensis,1,Fujian,2024,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Calandrella brachydactyla,1,Hunan,2024,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Coracina javensis,1,Zhejiang,2017,2017,FALSE,FALSE,not_modelled_at_all
Pericrocotus cantonensis,1,Tianjin,2023,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Temnurus temnurus,1,Guangdong,2022,2022,FALSE,TRUE,modelled_in_rescue_but_not_in_sdm_province
Dicaeum cruentatum,1,Jiangxi,2011,2011,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Dicaeum ignipectus,1,Henan,2016,2016,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Dicaeum minullum,1,Jiangxi,2011,2011,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Emberiza melanocephala,1,Guangxi,2019,2019,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Emberiza sulphurata,1,Zhejiang,2006,2006,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Callacanthis burtoni,1,Tibet,2015,2015,FALSE,FALSE,not_modelled_at_all
Riparia riparia,1,Hainan,2006,2006,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Garrulax canorus,1,Liaoning,2003,2003,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Pterorhinus gularis,1,Yunnan,2007,2007,FALSE,FALSE,not_modelled_at_all
Pterorhinus lanceolatus,1,Henan,2017,2017,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Helopsaltes ochotensis,1,Anhui,2013,2013,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Hypothymis azurea,1,Jiangsu,2020,2020,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Anthus richardi,1,Tibet,2017,2017,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Calliope obscura,1,Hubei,2021,2021,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Cyornis poliogenys,1,Guangxi,2014,2014,FALSE,FALSE,not_modelled_at_all
Enicurus leschenaulti,1,Inner Mongolia,2015,2015,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Ficedula hypoleuca,1,Xinjiang,2008,2008,FALSE,FALSE,not_modelled_at_all
Ficedula owstoni,1,Jiangsu,2024,2024,FALSE,TRUE,modelled_in_rescue_but_not_in_sdm_province
Ficedula ruficauda,1,Sichuan,2017,2017,FALSE,FALSE,not_modelled_at_all
Ficedula strophiata,1,Beijing,2017,2017,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Ficedula superciliaris,1,Hubei,2020,2020,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Niltava macgrigoriae,1,Shandong,2023,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Phoenicurus schisticeps,1,Shandong,2010,2010,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
